cop,cf,temp,cf_orig,heating load (mmbtu),heating load (ton),heating load/cf_orig,heating_load/cf
2.746,0.806,30.2,0.80592,1.45021287,120.8510725,149.9541797,149.9392959
2.829,0.827,32,0.8268,1.69932691,141.6105758,171.2754908,171.2340699
2.829,0.827,32,0.8268,1.89947704,158.2897533,191.4486615,191.402362
2.829,0.827,32,0.8268,2.09545652,174.6213767,211.2014715,211.150395
2.829,0.827,32,0.8268,2.3979122,199.8260167,241.6860385,241.6275897
2.829,0.827,32,0.8268,2.32622473,193.8520608,234.4606445,234.403943
2.829,0.827,32,0.8268,2.50555221,208.7960175,252.5350962,252.4740236
2.829,0.827,32,0.8268,2.3733834,197.78195,239.213776,239.155925
2.829,0.827,32,0.8268,2.56335436,213.6128633,258.3609861,258.2985046
2.746,0.806,30.2,0.80592,2.65503519,221.2529325,274.5346095,274.5073604
2.746,0.806,30.2,0.80592,3.01154159,250.9617992,311.3979045,311.3669965
2.663,0.785,28.4,0.78504,3.02096369,251.7469742,320.680442,320.6967824
2.58,0.764,26.6,0.76416,2.78933286,232.444405,304.1829002,304.2466034
2.497,0.743,24.8,0.74328,2.31639973,193.0333108,259.7047019,259.8025718
2.497,0.743,24.8,0.74328,2.06201917,171.8349308,231.1846556,231.2717777
2.58,0.764,26.6,0.76416,1.97218033,164.3483608,215.0706146,215.1156555
2.663,0.785,28.4,0.78504,1.90269833,158.5581942,201.974669,201.9849607
2.746,0.806,30.2,0.80592,1.91497009,159.5808408,198.0107713,197.9911177
2.746,0.806,30.2,0.80592,1.86023475,155.0195625,192.3510553,192.3319634
2.746,0.806,30.2,0.80592,1.95797619,163.1646825,202.4576664,202.4375713
2.663,0.785,28.4,0.78504,2.35101628,195.9180233,249.5643831,249.5770998
2.497,0.743,24.8,0.74328,2.72633316,227.19443,305.664662,305.779852
2.33,0.702,21.2,0.70152,2.97067313,247.5560942,352.8852979,352.6440088
2.247,0.681,19.4,0.68064,3.03177235,252.6476958,371.1913726,370.9951481
2.164,0.66,17.6,0.65976,3.28730274,273.941895,415.2144644,415.0634773
2.081,0.639,15.8,0.63888,3.26615773,272.1798108,426.0265008,425.9464958
1.998,0.618,14,0.618,3.4692008,289.1000667,467.7994606,467.7994606
1.915,0.597,12.2,0.59712,3.3686317,280.7193083,470.1221,470.2165969
1.831,0.576,10.4,0.57624,3.51655242,293.046035,508.5485822,508.7604774
1.748,0.555,8.6,0.55536,3.53825051,294.8542092,530.9244619,531.2688453
1.665,0.534,6.8,0.53448,3.60379591,300.3163258,561.8850581,562.3901233
1.665,0.534,6.8,0.53448,3.68278993,306.8991608,574.2013936,574.7175297
1.582,0.514,5,0.5136,3.68170538,306.8087817,597.3691232,596.9042445
1.582,0.514,5,0.5136,3.77959263,314.9660525,613.2516599,612.7744212
1.665,0.534,6.8,0.53448,9.12892825,760.7440208,1423.334869,1424.614271
1.665,0.534,6.8,0.53448,13.0637393,1088.644942,2036.830081,2038.660939
1.748,0.555,8.6,0.55536,9.24023155,770.0192958,1386.522789,1387.422155
1.915,0.597,12.2,0.59712,8.03474019,669.5616825,1121.318466,1121.543857
2.081,0.639,15.8,0.63888,6.86999716,572.4997633,896.0990536,895.930772
2.247,0.681,19.4,0.68064,6.07387682,506.1564017,743.6477457,743.254628
2.414,0.722,23,0.7224,5.80757861,483.9648842,669.9403158,670.3114739
2.58,0.764,26.6,0.76416,5.27675502,439.729585,575.4417727,575.562284
2.58,0.764,26.6,0.76416,4.82404484,402.0037367,526.0727291,526.1829014
2.58,0.764,26.6,0.76416,4.66078685,388.3989042,508.2690852,508.375529
2.497,0.743,24.8,0.74328,4.91695221,409.7460175,551.267379,551.4751245
2.414,0.722,23,0.7224,5.67743197,473.1193308,654.9270914,655.2899319
2.414,0.722,23,0.7224,6.55818078,546.515065,756.5269449,756.9460734
2.414,0.722,23,0.7224,6.87022694,572.5189117,792.5234104,792.9624815
2.414,0.722,23,0.7224,7.34328235,611.9401958,847.0932943,847.5625981
2.414,0.722,23,0.7224,7.62727523,635.6062692,879.8536395,880.341093
2.497,0.743,24.8,0.74328,1.10343346,91.95278833,123.7121789,123.7587999
2.497,0.743,24.8,0.74328,1.62457352,135.3811267,182.1401446,182.2087842
2.497,0.743,24.8,0.74328,2.94625212,245.52101,330.321023,330.4455047
2.497,0.743,24.8,0.74328,2.28251015,190.2091792,255.905149,256.001587
2.497,0.743,24.8,0.74328,3.36905792,280.7548267,377.7241775,377.8665231
